5.447111,3
5.521772,2
5.606281,3
5.681241,2
5.838886,5
5.915562,0
6.020307,5
6.115794,0
6.232475,3
6.61965,5
6.796938,2
6.796938,3
7.190014,0
7.38578,3
7.583286,2
7.947412,3
8.134353,2
8.335687,3
8.679661,3
8.886793,2
9.033459,4
9.252514,2
9.829419,3
10.01883,2
10.19766,3
10.35206,1
10.53105,3
11.30469,2
11.48625,3
11.68161,2
11.89598,4
12.07537,1
12.25784,3
12.94249,3
13.14748,2
13.31712,5
13.49008,0
13.72094,2
13.72094,3
14.23833,1
14.23833,4
14.7289,0
14.7289,5
15.38052,4
15.48286,3
15.58212,2
15.75617,3
15.8567,2
15.94461,1
16.14321,3
16.36078,2
16.53479,4
16.75327,0
16.9367,3
17.02724,2
17.09839,5
17.3072,0
17.49026,5
17.6083,2
17.66975,3
17.87198,2
18.05758,4
18.42491,3
18.53372,2
18.59839,4
18.82631,1
18.99177,3
19.08616,2
19.17252,4
19.2523,1
19.37524,3
19.53734,2
19.69848,5
20.11236,2
20.28456,3
20.3726,2
20.46662,3
20.8924,3
21.05562,0
21.43877,3
21.52908,2
21.61094,4
21.82354,1
21.91537,3
22.01163,2
22.38603,3
22.56922,2
22.77679,5
23.18401,2
23.33243,3
23.67808,0
23.87532,3
24.06759,2
24.39282,3
24.49896,2
24.57354,5
24.79325,5
24.89923,2
24.99266,3
25.07545,0
25.16955,3
25.29813,2
25.35784,5
25.50758,2
25.58315,4
25.69662,1
25.76488,3
26.29607,0
26.80569,1
26.80569,4
27.37226,3
27.49204,2
27.55355,5
27.78152,5
27.89299,2
27.98664,4
28.17628,3
28.36709,1
28.55343,3
28.73889,0
28.9238,3
29.01223,2
29.09016,4
29.28224,4
29.39213,2
29.46942,3
29.6477,3
29.81899,5
29.86536,1
30.02061,3
30.37025,4
30.49534,2
30.5878,3
30.79819,0
30.97126,3
31.07909,2
31.1607,5
31.26772,2
31.35342,3
31.54909,1
31.73626,2
31.76476,3
32.15157,0
32.3307,3
32.42944,2
32.48908,4
32.86454,2
33.04285,3
33.46161,2
33.5414,3
33.62999,2
33.813,4
34.02968,2
34.20775,3
34.43127,1
34.56785,3
35.64434,1
35.64434,4
36.07963,2
36.07963,3
36.43047,3
36.66039,2
36.81157,4
37.02018,2
37.19744,3
37.36108,1
37.69275,2
37.69275,3
38.07554,1
38.07554,4
38.39983,3
38.43463,2
38.78139,1
38.80818,4
39.00063,3
39.22235,2
39.383,4
39.61742,1
39.79486,3
39.96279,3
40.00055,2
40.14286,3
40.35285,1
40.70339,3
40.74445,2
40.88604,3
41.09097,1
41.09097,3
41.51411,2
41.51411,4
41.8668,1
41.8668,3
42.01215,3
42.24411,2
42.5573,4
42.58519,1
42.97839,2
42.97839,3
43.14081,3
43.3833,1
43.74115,3
43.77746,2
43.92175,3
44.11076,1
44.11076,3
44.48934,2
44.48934,4
44.82746,1
44.82746,3
45.02816,3
45.24898,2
45.61693,1
45.64469,4
46.01651,2
46.01651,3
46.19379,3
46.37331,1
46.75407,2
46.75407,3
46.91991,3
47.12938,1
47.12938,3
47.50681,2
47.50681,4
47.83214,1
47.86032,3
48.01352,3
48.39164,4
48.60759,2
48.77824,3
48.94392,1
49.05228,3
49.13958,2
49.23724,4
49.33799,1
49.43611,3
49.55294,2
49.61387,4
